,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Description
24,0812991060,10.0,The Fourth Trimester: And You Thought Labor Was Hard...,Amy Einhorn,2001,Crown Publishers,http://images.amazon.com/images/P/0812991060.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812991060.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812991060.01.LZZZZZZZ.jpg,"Advice, humor, and inspiration for new moms on surviving six weeks-and beyond."
25,0813009103,10.0,Florida Stories,Kevin McCarthy,1989,University Press of Florida,http://images.amazon.com/images/P/0813009103.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0813009103.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0813009103.01.LZZZZZZZ.jpg,"""A potpourri of short stories that serves up more style and substance, more suspense and sensuality, than most of the titles on the current best-seller list.""--Tampa Tribune Like an album of snapshots from a tropical vacation, this collection of seventeen stories captures Florida places and characters transformed by the literary imagination of some of America's finest short fiction writers like Stephen Crane. The stories range widely across Florida history and landscapes--St. Petersburg in the 20s, Key West and Alachua County in the 30s, Coconut Grove and Jacksonville in the 50s, Miami Beach in the 60s, and Ft. Lauderdale in the 70s. Andrew Lytle recounts violent events in an Indian village during the Spanish rule. Sarah Orne Jewett and Stephen Crane treat maritime Florida in the 19th century while Hemingway and Philip Wylie present stories of the 20th century. From the pinewoods of northern Florida, through cracker farms, boom towns, and coastal suburbs, to the swamps and the Keys, we meet characters both common and extraordinary: moonshiners, socialites, carnies, sailors, scavengers, and fugitives. McCarthy's collection reveals the impact of a rich human and natural environment on the work of these distinguished writers. In the process it captures the uniquely Floridian coincidence of the exotic and mundane."
26,0814403859,10.0,The Executive's Guide to Supply Management Strategies: Building Supply Chain Thinking into All Business Processes,David A. Riggs,1998,AMACOM,http://images.amazon.com/images/P/0814403859.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0814403859.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0814403859.01.LZZZZZZZ.jpg,"Let's stop ""admiring"" the supply problem; A brief history of procurement initiatives - just not enough; The marketplace twenty-first century - change and time; Supply management: strategy and process; How to get started; Supply-stream strategies: classification and development; The supply management organization; Measuring effectiveness; Secrets to success; Fast forward; Index."
27,081440359X,10.0,Fatal Illusions: Shredding a Dozen Unrealities That Can Keep Your Organization from Success,J. R. Lucas,1997,American Management Association,http://images.amazon.com/images/P/081440359X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/081440359X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/081440359X.01.LZZZZZZZ.jpg,"Addresses management attitudes about quality, communication, and employees that can damage an organization's earnings, customer relations, and morale"
28,081420497X,10.0,"The Woody Plants of Ohio: Trees, Shrubs, and Wood Climbers Native, Naturalized, and Escaped",Emma Lucy Braun,1989,Ohio State University Press,http://images.amazon.com/images/P/081420497X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/081420497X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/081420497X.01.LZZZZZZZ.jpg,
29,0814100791,10.0,Adventuring With Books: A Booklist for Pre-K-Grade 6 (Ncte Bibliography),Julie M. Jensen,1993,National Council of Teachers of English,http://images.amazon.com/images/P/0814100791.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0814100791.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0814100791.01.LZZZZZZZ.jpg,
30,0813918677,10.0,Hidden Lives: The Archaeology of Slave Life at Thomas Jefferson's Poplar Forest,Barbara J. Heath,1999,University Press of Virginia,http://images.amazon.com/images/P/0813918677.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0813918677.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0813918677.01.LZZZZZZZ.jpg,"LIKE MONTICELLO, Thomas Jefferson's Poplar Forest offers a significant archeological view of slave life at the turn of the nineteenth century in rural Virginia. In Hidden Lives, Barbara J. Heath re-creates the daily life of slaves at Jefferson's second home from 1773, the year he inherited the plantation, until 1812, when his reorganization of its landscape resulted in the destruction of a slave quarter. Drawing on census data, letters, memoranda, and other primary material, Heath describes the slave community's family ties, the agricultural cycle of work, and the sickness and health care they experienced. Her portrait is enhanced by fresh archaeological findings and a wealth of illustrations, including site and contemporary maps,../images of slaves at work and at home, artifacts, and interpretive drawings. By looking at the social meaning of buildings, yards, and artifacts, Heath presents new interpretations of how individuals used materials to create a sense of self and community, how they acquired belongings, and how they safeguarded them. For visitors to historic sites and students and scholars of archaeology, Heath's book offers a visual and textual exploration of complex relationships within the plantation and of the resulting choices, compromises, and limitations that Jefferson's slaves negotiated in the process of making a home within the confines of institutionalized slavery."
31,0813915287,10.0,Here Lies Virginia: An Archaeologist's View of Colonial Life and History,Ivor Noel Hume,1994,University Press of Virginia,http://images.amazon.com/images/P/0813915287.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0813915287.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0813915287.01.LZZZZZZZ.jpg,"Long out of print, this highly acclaimed book is available again with a new Preface and Afterword for a new generation of readers. Published in 1963 when historical archaeology was in its infancy, Here Lies Virginia details the archaeology and excavation of Roanoke Island, Jamestown, Williamsburg, and Yorktown, Virginia. Combining artifacts and written records, Ivor Noel Hume provides an intimate portrait of colonial life. In his new Afterword, Noel Hume discusses the changes that have taken place in the field of historical archaeology since the book was first published thirty years ago. He uncovers both the advantages and the shortcomings of computer technology in archaeology as well as problems caused by the separation of artifact studies from archaeological site interpretation. This first paperback edition will bring back into print a treasury of the archaeological history of Virginia."
32,0813913233,10.0,Martin's Hundred,Ivor Noel Hume,1991,University Press of Virginia,http://images.amazon.com/images/P/0813913233.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0813913233.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0813913233.01.LZZZZZZZ.jpg,The author describes his archeological excavation of a seventeenth-century English settlement in Virginia and his discovery of evidence of the early colonial way of life.
33,0813911494,10.0,Matthew Arnold and the Betrayal of Language (Virginia Victorian Studies),David G. Riede,1988,Univ of Virginia Pr,http://images.amazon.com/images/P/0813911494.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0813911494.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0813911494.01.LZZZZZZZ.jpg,"Matthew Arnold was one of the nineteenth century's greatest spokesmen for the saving power of culture, especially of poetry, to substitute for a vanishing religion. Yet he was persistently troubled throughout his career by the difficulty of finding adequate authority in language. Matthew Arnold and the Betrayal of Language explores Arnold's attempts to find an authoritative language, and argues that his occasional claims for such a language reveal more uneasiness than confidence in the value of """"letters."""" It examines Arnold's poetry within this context and demonstrates that his various experiments-- to speak in oracular voice, to use classic forms, to achieve a grand style-- and their failures, reflect the inevitable difficulties facing any poet in an age of intellectual and cultural upheaval. Riede argues that Arnold's determined efforts to write with authority, combined with his deep-seated suspicion of his medium, result in an exciting if often agonized tension in his poetic language-- a language that strains against its inevitable but generally unacknowledged limitations."
34,0813829054,10.0,Equine Color Genetics,D. Phillip Sponenberg,1996,Iowa State University Press,http://images.amazon.com/images/P/0813829054.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0813829054.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0813829054.01.LZZZZZZZ.jpg,Teaches how to accurately identify horses by using color. A separate section covers donkey color.
35,0813531020,10.0,"Death by Fire: Sati, Dowry Death, and Female Infanticide in Modern India",Mala Sen,2002,Rutgers University Press,http://images.amazon.com/images/P/0813531020.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0813531020.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0813531020.01.LZZZZZZZ.jpg,"Before a crowd of several thousand people, mostly men, a young woman dressed in her bridal finery was burned alive on her husband's funeral pyre. The apparent revival of an ancient tradition opened old wounds in Indian society and focused world attention on the status and treatment of women in modern India.""."
36,0813525306,10.0,Lessons from the Intersexed,Suzanne J. Kessler,1998,Rutgers University Press,http://images.amazon.com/images/P/0813525306.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0813525306.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0813525306.01.LZZZZZZZ.jpg,"Focusing on intersexuality, having physical gender markers that are neither female or male, the author examines the social institutions that are mobilized to maintain the two seemingly objective sexual categories. She argues that we need to rethink the meaning of gender, genitals and sexuality."
37,0813524660,10.0,Star Trek and History: Race-Ing Toward a White Future,Daniel Bernardi,1998,Rutgers University Press,http://images.amazon.com/images/P/0813524660.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0813524660.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0813524660.01.LZZZZZZZ.jpg,"As an enduring American icon, the STAR TREK series represents a utopian future where humans no longer engage in racism, sexism, or capitalism--or does it? STAR TREK AND HISTORY traces the shifting and reforming meaning of race as articulated throughout the STAR TREK television series, feature films, and fan community. 60 illustrations."
38,0813518288,10.0,Incantations and Other Stories,Anjana Appachana,1992,Rutgers University Press,http://images.amazon.com/images/P/0813518288.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0813518288.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0813518288.01.LZZZZZZZ.jpg,"This first collection of fiction by Anjana Appachana provides stories that are beautifully written, the characters in them carefully and respectfully drawn. All the stories are set in India, but the people in them seem somehow displaced within their own society--a society in transition but a transition that does not come fast enough to help them. Appachana manages to capture the pervasive humor, poignancy, and self-delusion of the lives of the people she observes, but she does so without seeming to pass judgments on them. She focuses on unexpected moments, as if catching her characters off guard, lovingly exposing the fragile surfaces of respectability and convention that are so much a part of every society, but particularly strong in India, with its caste system, gender privileges, and omnipresent bureaucracies. All life seems to be prescribed; these characters bravely or cautiously confront the rules and regulations or finally give in to them resignedly--any small triumphs they achieve are never clear-cut. One of the most unusual aspects of many of the stories is the way in which they are informed by but never ruled by the author's feminism. She never lectures her readers but lets us see for ourselves: a bride caught in a hopeless marriage where she has given up all rights to any life of her own, a hapless college student who is confined to campus for minor infractions just at the time when she had an appointment for an abortion, a young girl who keeps the dark secret of her sister's rape, a woman executive and a digruntled male clerk both trapped in the intricate bureaucracy of their business firm and the roles they must play to survive there. By turns warm, gullible, arrogant and bigoted, all of these characters live their lives amid contradictions and double standards, superstitions and impossible dreams. Appachana's vision is unique, her writing superb. Readers will thank her for allowing them to enter territory that is at once distant and exotic but also familiar and recognizable."
39,0813431158,10.0,"Horses and Horsemanship (Ensminger, M. Eugene. Animal Agriculture Series.)",M. Eugene Ensminger,1998,Interstate Publishers,http://images.amazon.com/images/P/0813431158.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0813431158.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0813431158.01.LZZZZZZZ.jpg,
