,Book-Author,Description
25,Kevin McCarthy,"Kevin Owen McCarthy is an American politician who is the 55th and current speaker of the United States House of Representatives. A member of the Republican Party, McCarthy is in his ninth House term, serving as the U.S. representative for California's 20th congressional district since 2007. The district, which was numbered the 22nd district from 2007 to 2013 and the 23rd district from 2013 to 2023, has had various changes in location, but now covers the southern half of the San Joaquin Valley."
26,David A. Riggs,
27,J. R. Lucas,John Randolph Lucas was a British philosopher.
28,Emma Lucy Braun,"E. Lucy Braun was a prominent botanist, ecologist, and expert on the forests of the eastern United States who was a professor of the University of Cincinnati. She was the first woman to be elected President of the Ecological Society of America, in 1950. She was an environmentalist before the term was popularized, and a pioneering woman in her field, winning many awards for her work."
29,Julie M. Jensen,
30,Barbara J. Heath,"Barbara J. Heath is a professor in the Department of Anthropology at The University of Tennessee, Knoxville who specializes in historical archaeology of eastern North America and the Caribbean. Her research and teaching focus on the archaeology of the African diaspora, colonialism, historic landscapes, material culture, public archaeology and interpretation, and Thomas Jefferson."
31,Ivor Noel Hume,"

Ivor Noël Hume, OBE was a British-born archaeologist who did research in the United States. A former director of Colonial Williamsburg’s archaeological research program and the author of more than 20 books, he was heralded by his peers as the ""father of historical archaeology""."
33,David G. Riede,
34,D. Phillip Sponenberg,
35,Mala Sen,"Mala Sen was a Bengali-Indian-British writer and human rights activist. As an activist, she was known for her civil rights activism and race relations work in London during the 1960s and 1970s, as part of the British Asian and British Black Panthers movements, and later her women's rights activism in India. As a writer, she was known for her book India's Bandit Queen: The True Story of Phoolan Devi, which led to the acclaimed 1994 film Bandit Queen. After researching the oppression of women in rural India, she also published Death by Fire in 2001."
36,Suzanne J. Kessler,
37,Daniel Bernardi,"Daniel Leonard Bernardi is a professor of Cinema at San Francisco State University, founder and President of El Dorado Films and Commander in the United States Navy Reserve. Bernardi earned a Bachelor of Arts in Radio-TV (1984) and a Masters of Arts in Media Arts (1988) from the University of Arizona. He went on to earn a PhD in Film and Television Studies from UCLA (1994) and he completed a University of California postdoctoral research fellowship in 1997."
38,Anjana Appachana,"Anjana Appachana is a novelist of Indian origin who lives in the United States. She has written a book of short stories titled Incantations and a novel titled Listening Now. Her upcoming novel, Fear and Lovely, will be published in early 2023."
39,M. Eugene Ensminger,
40,M. E. Ensminger,
43,Anthony Gierzynski,
44,Sten Odenwald,"Sten Felix Odenwald is an American astronomer, author, and NASA scientist-educator. Odenwald has worked as part of the NASA Cosmic Background Explorer, Diffuse Infrared Background Experiment investigating the cosmic infrared background. He has published four books: The Astronomy Cafe, The 23rd Cycle, Patterns in the Void and Back to the Astronomy Cafe. He has also appeared in a number of TV and radio documentaries on astronomy and space weather. Since receiving his Ph.D. in astronomy from Harvard University in 1982, he has been an astronomer in the Washington, D.C. area, primarily at NASA's Goddard Spaceflight Center in Greenbelt, Maryland. Since 2000, he has been actively involved in science and math education at NASA, and was a founding member of the Sun-Earth Connection Education Forum, among many other high-visibility NASA education projects involving space weather issues, archeoastronomy and the transits of Venus in 2004 and 2012. He is currently the director of STEM Education at the National Institute of Aerospace."
45,Charles E. Bennett,Charles Bennett may refer to:
46,Bonnie Jones Reynolds,
47,Peter O'Donnell,"Peter O'Donnell was an English writer of mysteries and of comic strips, best known as the creator of Modesty Blaise, an action heroine/undercover trouble-shooter. He was also an award-winning gothic historical romance novelist who wrote under the female pseudonym Madeleine Brent, in 1978, his novel Merlin's Keep won the Romantic Novel of the Year Award by the Romantic Novelists' Association."
48,DC Comics,"DC Comics, Inc. is an American comic book publisher and the flagship unit of DC Entertainment, a subsidiary of Warner Bros. Discovery."
49,Annette Wolter,
50,Alona Frankel,"Alona Frankel is a Polish-born Israeli writer and illustrator of many classic children's books as well as recently published poetic memoirs for young adults. She was born in Kraków, Poland, and is a Holocaust survivor. In 1949, Alona immigrated to Israel."
51,Angels Julivert,
52,George Blasiola,
53,Alison Boteler,
54,Gladys C. Lipton,
55,Roland A. Lange,
56,Ann E. Steinke,
58,Helga Fritzsche,
59,Mikel A. Rothenberg,
60,Ron Herbst and Sharon Tyler Herbst,
61,Bill Brooks,"Bill Brooks may refer to:Bill Brooks (coach) (1922–2010), American baseball and basketball coach at the University of North Carolina at Wilmington
Bill Brooks, former wide receiver in the National Football League
Bill Brooks (1945–2007), American football coach at Canisius College"
62,Barry E. McNamara,
63,Nobuo Akiyama,
64,A. Everitt,
65,Og Mandino,"Augustine ""Og"" Mandino II was an American author. He wrote the bestselling book The Greatest Salesman in the World. His books have sold over 50 million copies and have been translated into over 25 languages. He was the president of Success Unlimited magazine until 1976 and was inducted into the National Speakers Association's Hall of Fame."
66,Witch Bree,
67,Vinnie,"Vinny or Vinnie is a masculine given name, usually a shortened version of Vincent, Vincenzo, or Vicente, which may refer to:"
68,Shingo Syoko,
69,Corby Kummer,"Corby Kummer is executive director of Food & Society at the Aspen Institute, a senior lecturer at the Tufts Friedman School of Nutrition Science, and a senior editor of The Atlantic."
70,Bridget McDermott,
71,College Division Barron's Educational Series,
72,Ruth J. Silverstein,
73,D. Caroline Coile,
74,Joe Stahlkuppe,
75,Edith Wharton,"Edith Wharton was an American writer and designer. Wharton drew upon her insider's knowledge of the upper-class New York ""aristocracy"" to portray realistically the lives and morals of the Gilded Age. In 1921, she became the first woman to win the Pulitzer Prize in Fiction, for her novel The Age of Innocence. She was inducted into the National Women's Hall of Fame in 1996. Among her other well known works are The House of Mirth, the novella Ethan Frome, and several notable ghost stories."
76,Jane Austen,"Jane Austen was an English novelist known primarily for her six major novels, which interpret, critique, and comment upon the British landed gentry at the end of the 18th century. Austen's plots often explore the dependence of women on marriage in the pursuit of favourable social standing and economic security. Her works critique the novels of sensibility of the second half of the 18th century and are part of the transition to 19th-century literary realism. Her use of social commentary, realism and biting irony have earned her acclaim among critics and scholars."
77,Rosanne Bittner,
78,Nancy Springer,"Nancy Springer is an American author of fantasy, young adult literature, mystery, and science fiction. Her novel Larque on the Wing won the Tiptree Award in 1994. She also received the Edgar Award from the Mystery Writers of America for her novels Toughing It in 1995 and Looking for Jamie Bridger in 1996. Additionally, she received the Carolyn W. Field Award from the Pennsylvania Library Association in 1999 for her novel I am Mordred. She has written more than fifty books over a career that has spanned nearly four decades."
79,Fred Saberhagen,Fred Thomas Saberhagen was an American science fiction and fantasy author most famous for his Berserker series of science fiction short stories and novels.
80,L. Neil Smith,"Lester Neil Smith III, better known as L. Neil Smith, was an American libertarian science fiction author and political activist. His works include the trilogy of Lando Calrissian novels, all published in 1983: Lando Calrissian and the Mindharp of Sharu, Lando Calrissian and the Flamewind of Oseon, and Lando Calrissian and the Starcave of ThonBoka. He also wrote the novels Pallas, The Forge of the Elders, and The Probability Broach, each of which won the Libertarian Futurist Society's annual Prometheus Award for best libertarian science fiction novel. In 2016, Smith received a Special Award for Lifetime Achievement from the Libertarian Futurist Society."
81,John Barnes,"John Charles Bryan Barnes MBE is a former professional football player and manager. Often considered one of the greatest English players of all time, Barnes currently works as an author, as well as a commentator and pundit for ESPN and SuperSport. Initially a quick, skilful left winger, he moved to central midfield later in his career."
82,Andre Norton,"Andre Alice Norton was an American writer of science fiction and fantasy, who also wrote works of historical and contemporary fiction. She wrote primarily under the pen name Andre Norton, but also under Andrew North and Allen Weston. She was the first woman to be Gandalf Grand Master of Fantasy, to be SFWA Grand Master, and to be inducted by the Science Fiction and Fantasy Hall of Fame."
84,L. Frank Baum,"Lyman Frank Baum was an American author best known for his children's fantasy books, particularly The Wonderful Wizard of Oz, part of a series. In addition to the 14 Oz books, Baum penned 41 other novels, 83 short stories, over 200 poems, and at least 42 scripts. He made numerous attempts to bring his works to the stage and screen; the 1939 adaptation of the first Oz book became a landmark of 20th-century cinema."
87,Lewis Carroll,"Charles Lutwidge Dodgson, better known by his pen name Lewis Carroll, was an English author, poet and mathematician. His most notable works are Alice's Adventures in Wonderland (1865) and its sequel Through the Looking-Glass (1871). He was noted for his facility with word play, logic, and fantasy. His poems Jabberwocky (1871) and The Hunting of the Snark (1876) are classified in the genre of literary nonsense."
88,Max Allan Collins,"Max Allan Collins is an American mystery writer, noted for his graphic novels. His work has been published in several formats and his Road to Perdition series was the basis for a film of the same name. He wrote the Dick Tracy newspaper strip for many years and has produced numerous novels featuring the character as well."
89,Robin Hawdon,"Robin Hawdon is an English playwright and novelist, with previous additional careers as actor and theatre director. He is best known for his stage comedies and novels."
90,T. H. White,"Terence Hanbury ""Tim"" White was an English writer. He is best known for his Arthurian novels, which were published together in 1958 as The Once and Future King. One of his most memorable is the first of the series, The Sword in the Stone, which was published as a stand-alone book in 1938."
91,Timothy R. Tomlinson,
92,Jonathan Sumption,"Jonathan Philip Chadwick Sumption, Lord Sumption,, is a British author, medieval historian and former senior judge who sat on the Supreme Court of the United Kingdom between 2012 and 2018."
94,Marie A. Chisholm,
95,Jonathan R. Aspatore,
96,G. William Barnett II,
97,Joan Mitchell,"Joan Mitchell was an American artist who worked primarily in painting and printmaking, and also used pastel and made other works on paper. She was an active participant in the New York School of artists in the 1950s. A native of Chicago, she is associated with the American abstract expressionist movement, even though she lived in France for much of her career."
98,E. T. Randall,
99,Marissa Moss,Marissa Moss is an American children's book author.
100,M. L. Roberts,
101,Gary Perkins,
102,Tololwa M. Mollel,
103,Kenneth Grahame,"Kenneth Grahame was a British writer born in Edinburgh, Scotland. He is most famous for The Wind in the Willows (1908), a classic of children's literature, as well as The Reluctant Dragon. Both books were later adapted for stage and film, of which A. A. Milne's Toad of Toad Hall, based on part of The Wind in the Willows, was the first. Other adaptations include Cosgrove Hall Films' The Wind in the Willows, and the Walt Disney films."
104,Nicki Weiss,
105,Pat Paris,
106,Christie Wells,
107,Janet Palazzo-Craig,
108,Rita Schlachter,
109,Catherine E. Chambers,
110,Thomas Merton,"Thomas Merton was an American Trappist monk, writer, theologian, mystic, poet, social activist and scholar of comparative religion. On May 26, 1949, he was ordained to the Catholic priesthood and given the name ""Father Louis"". He was a member of the Abbey of Our Lady of Gethsemani, near Bardstown, Kentucky, living there from 1941 to his death."
112,Christopher Isherwood,"Christopher William Bradshaw Isherwood was an Anglo-American novelist, playwright, screenwriter, autobiographer, and diarist. His best-known works include Goodbye to Berlin (1939), a semi-autobiographical novel which inspired the musical Cabaret; A Single Man (1964), adapted as a film by Tom Ford in 2009; and Christopher and His Kind (1976), a memoir which ""carried him into the heart of the Gay Liberation movement""."
113,Barry Paris,"Barry Paris is an author and journalist based in Pittsburgh, Pennsylvania."
114,Kent Meyers,
115,Gilles Deleuze,"Gilles Louis René Deleuze was a French philosopher who, from the early 1950s until his death in 1995, wrote on philosophy, literature, film, and fine art. His most popular works were the two volumes of Capitalism and Schizophrenia: Anti-Oedipus (1972) and A Thousand Plateaus (1980), both co-written with psychoanalyst Félix Guattari. His metaphysical treatise Difference and Repetition (1968) is considered by many scholars to be his magnum opus."
116,Jo Jeffers,
117,Patricia Preciado Martin,"Patricia Preciado Martin is an author and researcher who specializes in oral history and the history of Arizona. She was one of the first to document, write and share stories of Mexican Americans in Tucson, Arizona."
118,Robert C. Euler,
119,Richard Shelton,"Richard Shelton may refer to:Richard Shelton (actor), English actor and singer
Richard Shelton (writer) (1933–2022), American writer, poet and professor of English
Richard Shelton, American football player
Richard Shelton, English lawyer and politician
"
120,Ellsworth Kolb,The Kolb Studio is a historic structure situated on the edge of the South Rim of the Grand Canyon in Grand Canyon Village within Grand Canyon National Park in Arizona. It was operated from 1904 until 1976 as the photographic studio of brothers Ellsworth and Emery Kolb.
121,Fay Robinson,
123,Hanneke Ippisch,"Hanneke Eikema was a Dutch woman who, during World War II, helped ferry Jewish children to safety and assisted in the financial logistics of the Dutch resistance."
124,Ellen Schultz,
125,Brian Moore,Brian Moore may refer to:
126,Anni Albers,"Anni Albers was a German textile artist and printmaker credited with blurring the lines between traditional craft and art.Besides surface qualities, such as rough and smooth, dull and shiny, hard and soft, textiles also includes colour, and, as the dominating element, texture, which is the result of the construction of weaves. Like any craft it may end in producing useful objects, or it may rise to the level of art."
127,Samuel R. Delany,"Samuel R. ""Chip"" Delany is an American writer and literary critic. His work includes fiction, memoir, criticism, and essays on science fiction, literature, sexuality, and society. His fiction includes Babel-17, The Einstein Intersection ; Nova, Dhalgren, the Return to Nevèrÿon series, and Through the Valley of the Nest of Spiders. His nonfiction includes Times Square Red, Times Square Blue, About Writing, and eight books of essays. After winning four Nebula awards and two Hugo Awards over the course of his career, Delany was inducted in 2002 into the Science Fiction and Fantasy Hall of Fame."
128,Paul Horgan,Paul George Vincent O'Shaughnessy Horgan was an American writer of historical fiction and non-fiction who mainly wrote about the Southwestern United States. He was the recipient of two Pulitzer Prizes for History.
129,Sally Banes,"Sally Rachel Banes was a notable dance historian, writer, and critic."
130,Yusef Komunyakaa,"Yusef Komunyakaa is an American poet who teaches at New York University and is a member of the Fellowship of Southern Writers. Komunyakaa is a recipient of the 1994 Kingsley Tufts Poetry Award, for Neon Vernacular and the 1994 Pulitzer Prize for Poetry. He also received the Ruth Lilly Poetry Prize. Komunyakaa received the 2007 Louisiana Writer Award for his enduring contribution to poetry."
131,Shahid Ali Agha,
132,Stanley Mack,
133,Jack Kent,"Jack Kent may refer to:Jack Kent (politician) (1870–1946), British politician with the Socialist Party of Great Britain
Jack Kent (illustrator) (1920–1985), author-illustrator of children's books
Jack Kent (footballer), 1891–1892 Everton player"
134,Remy Charlip,"Abraham Remy Charlip was an American artist, writer, choreographer, theatre director, theatrical designer, and teacher. He wrote or illustrated more than 40 children's books."
135,William Shakespeare,"William Shakespeare was an English playwright, poet and actor. He is regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"". His extant works, including collaborations, consist of some 39 plays, 154 sonnets, three long narrative poems, and a few other verses, some of uncertain authorship. His plays have been translated into every major living language and are performed more often than those of any other playwright. He remains arguably the most influential writer in the English language, and his works continue to be studied and reinterpreted."
136,Bryan Wilson,"Bryan Wilson may refer to:Bryan R. Wilson (1926–2004), British professor of sociology
Bryan Wilson, Australian sport shooter
Bryan Andrew Wilson, American gospel musician and pastor"
137,Paul-Loup Sulitzer,"Paul Loup Karl Sulitzer is a French financier and author. Before he turned seventeen, he was already a self-made millionaire. Sulitzer used his financial experience and knowledge in his books, which often related to the business world."
138,William S. Pechter,
139,Hargrave. Sean,
140,John Shaw,John or Jack Shaw may refer to:
141,Michael Schwartz,"Michael or Mike Schwartz may refer to:Mix Master Mike, American turntablist
Michael Schwartz (sociologist), American sociologist
Mike Schwartz, American actor and writer
Michael Schwartz (physician), American physician
Michael Schwartz, American academic administrator
Mike Schwartz (activist) (1950–2013), American anti-abortion activist
Michael Warren Schwartz, professor of medicine
Michal Schwartz, Israeli professor of neuroimmunology
Mike Schwartz (basketball), American-Israeli basketball player
Michael A. Schwartz, American academic and psychiatrist"
142,H. C. Andersen,"HC Andersen may refer to:Hans Christian Andersen, 19th century Danish writer and poet
HC Andersen (band), a Finnish rock band
HC Andersen (beer), a strong beer brewed by Albani Brewery

"
143,Hans Christian Andersen,"Hans Christian Andersen was a Danish author. Although a prolific writer of plays, travelogues, novels, and poems, he is best remembered for his literary fairy tales."
144,Karl Rahner,"Karl Rahner was a German Jesuit priest and theologian who, alongside Henri de Lubac, Hans Urs von Balthasar, and Yves Congar, is considered to be one of the most influential Roman Catholic theologians of the 20th century. He was the brother of Hugo Rahner, also a Jesuit scholar."
145,Jim Hohnberger,
146,Mark Finley,"Mark A. Finley is the former host and director of It Is Written, for which he traveled around the world as a televangelist. He was the first Seventh-day Adventist pastor to do a satellite evangelistic series.
He also served as one vice-president out of nine for the Seventh-day Adventist Church, and has written over 74 published books."
147,Murray N. Rothbard,"Murray Newton Rothbard was an American economist of the Austrian School, economic historian, political theorist, and activist. Rothbard was a central figure in the 20th-century American libertarian movement and a founder and leading theoretician of anarcho-capitalism. He wrote over twenty books on political theory, history, economics, and other subjects."
148,Kilian McDonnell,
150,John F. Craghan,
151,Richard J. Clifford,
153,Toni Craven,
154,Carroll Stuhlmueller,
155,Peter F. Ellis,
156,Alphonse P. Spilly,
157,Rita J. Burns,
158,Alice L. Laffey,
160,Paula J. Bowes,
161,John A. Grindel,
162,Leslie J. Hoppe,Leslie J. Hoppe is a Roman Catholic priest and Franciscan Old Testament scholar with a focus on Deuteronomy and Deuteronomic literature and is an expert in biblical studies. He is Carroll Stuhlmueller Distinguished Professor of Old Testament Studies at Catholic Theological Union in Chicago and the general editor of the refereed theological journal Catholic Biblical Quarterly.
163,Helen Kenik Mainelli,
164,Wayne A. Turner,
166,Pauline A. Viviano,
167,Pheme Perkins,"Pheme Perkins is a Professor of Theology at Boston College, where she has been teaching since 1972. She is a nationally recognized expert on the Greco-Roman cultural setting of early Christianity, as well as the Pauline Epistles and Gnosticism."
168,Philip A. Van Linden,
169,Ernest Nagel,"Ernest Nagel was an American philosopher of science. Along with Rudolf Carnap, Hans Reichenbach, and Carl Hempel, he is sometimes seen as one of the major figures of the logical positivist movement. His 1961 book The Structure of Science is considered a foundational work in the logic of scientific explanation."
170,Ruth K. Westheimer,"Karola Ruth Westheimer, better known as Dr. Ruth, is a German-American sex–therapist, talk show host, author, professor, and Holocaust survivor."
171,Celeste Perino Walker,
172,Not Applicable (Na ),
173,E. G. White,
174,Ellen Gould Harmon White,"Ellen Gould White was an American author and co-founder of the Seventh-day Adventist Church. Along with other Adventist leaders such as Joseph Bates and her husband James White, she was instrumental within a small group of early Adventists who formed what became known as the Seventh-day Adventist Church. White is considered a leading figure in American vegetarian history. Smithsonian named her among the ""100 Most Significant Americans of All Time""."
175,Michael Crichton,"John Michael Crichton was an American author and filmmaker. His books have sold over 200 million copies worldwide, and over a dozen have been adapted into films. His literary works heavily feature technology and are usually within the science fiction, techno-thriller, and medical fiction genres. His novels often explore technology and failures of human interaction with it, especially resulting in catastrophes with biotechnology. Many of his novels have medical or scientific underpinnings, reflecting his medical training and scientific background."
176,Stephen King,"Stephen Edwin King is an American author of horror, supernatural fiction, suspense, crime, science-fiction, and fantasy novels. Described as the ""King of Horror"", his books have sold more than 350 million copies as of 2006, and many have been adapted into films, television series, miniseries, and comic books. King has published 64 novels, including seven under the pen name Richard Bachman, and five non-fiction books. He has also written approximately 200 short stories, most of which have been published in book collections."
177,Richard P. Feynman,"Richard Phillips Feynman was an American theoretical physicist, known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, the physics of the superfluidity of supercooled liquid helium, as well as his work in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman received the Nobel Prize in Physics in 1965 jointly with Julian Schwinger and Shin'ichirō Tomonaga."
178,Stephen W. Hawking,"Stephen William Hawking was an English theoretical physicist, cosmologist, and author who, at the time of his death, was director of research at the Centre for Theoretical Cosmology at the University of Cambridge. Between 1979 and 2009, he was the Lucasian Professor of Mathematics at the University of Cambridge, widely viewed as one of the most prestigious academic posts in the world."
179,Michael Wood,Michael Wood may refer to:
180,Sylvia Cole,
181,Elizabeth Breuilly,
182,Carl Waldman,
183,Deborah Manley,
184,William Lincoln,"William Lincoln may refer to:William S. Lincoln (1813–1893), U.S. Representative from New York
William Wallace Lincoln (1850–1862), son of Abraham Lincoln
J. William Lincoln, Pennsylvania politician
W. J. Lincoln (1870–1917), Australian dramatist and filmmaker
William Lincoln, a perpetrator of the 2015 Hatton Garden safe deposit burglary
"
185,Jeff Rovin,"Jeff Rovin is an American magazine editor, freelance writer, columnist, and author, who has appeared on The New York Times Best Seller list."
186,Ashton B. Carter,Ashton Baldwin Carter was an American government official and academic who served as the 25th United States Secretary of Defense from February 2015 to January 2017. He later served as director of the Belfer Center for Science & International Affairs at Harvard Kennedy School.
187,Aaron Kramer,"Aaron Kramer was an American poet, translator, and social activist.
A lifelong poet of political commitment, he wrote 26 volumes of poetry, three of prose, and ten of translations between 1938 and 1998. Kramer taught English at Dowling College in Oakdale, Long Island, New York."
188,Nayra Atiya,
189,Donald Spoto,"Donald Spoto was an American biographer and theologian. He was known for his best-selling biographies of people in the worlds of film and theater, and for his books on theology and spirituality."
190,Bruce Alberts,"Bruce Michael Alberts is an American biochemist and the Chancellor’s Leadership Chair in Biochemistry and Biophysics for Science and Education, Emeritus at the University of California, San Francisco. He has done important work studying the protein complexes which enable chromosome replication when living cells divide. He is known as an original author of the ""canonical, influential, and best-selling scientific textbook"" Molecular Biology of the Cell, and as Editor-in-Chief of Science magazine."
191,Norris J. Lacy,"Norris J. Lacy is an American scholar focusing on French medieval literature. He was the Edwin Erle Sparks Professor Emeritus of French and Medieval Studies at the Pennsylvania State University until his retirement in 2012, a position he had held since 1998. He is a leading expert on the Arthurian legend and has written and edited numerous books, papers, and articles on the topic. In 2014 the International Arthurian Society, North American Branch, presented him an award for Lifetime Service to Arthurian Studies."
192,Oakley Ray,
193,Dr Seuss,"Theodor Seuss Geisel was an American children's author and cartoonist. He is known for his work writing and illustrating more than 60 books under the pen name Dr. Seuss. His work includes many of the most popular children's books of all time, selling over 600 million copies and being translated into more than 20 languages by the time of his death."
194,Tuttle Cameron,
195,Babs Harrison,
196,Time Life Books,"Time Life, with sister subsidiaries StarVista Live and Lifestyle Products Group, a holding of Direct Holdings Global LLC, is an American company formerly known for its production company and direct marketer conglomerate, that is known for selling books, music, video/DVD, and multimedia products. The current focus of the group is music, video, and entertainment experiences as the Time Life book division closed in 2001. Its products have been sold throughout North America, Europe, Australia, and Asia through television, print, retail, the Internet, telemarketing, and direct sales. Current operations are focused in the US and Canada with limited retail distribution overseas."
197,Time-Life Books,"Time Life, with sister subsidiaries StarVista Live and Lifestyle Products Group, a holding of Direct Holdings Global LLC, is an American company formerly known for its production company and direct marketer conglomerate, that is known for selling books, music, video/DVD, and multimedia products. The current focus of the group is music, video, and entertainment experiences as the Time Life book division closed in 2001. Its products have been sold throughout North America, Europe, Australia, and Asia through television, print, retail, the Internet, telemarketing, and direct sales. Current operations are focused in the US and Canada with limited retail distribution overseas."
204,Time-Life Books.,
208,Time Life,"Time Life, with sister subsidiaries StarVista Live and Lifestyle Products Group, a holding of Direct Holdings Global LLC, is an American company formerly known for its production company and direct marketer conglomerate, that is known for selling books, music, video/DVD, and multimedia products. The current focus of the group is music, video, and entertainment experiences as the Time Life book division closed in 2001. Its products have been sold throughout North America, Europe, Australia, and Asia through television, print, retail, the Internet, telemarketing, and direct sales. Current operations are focused in the US and Canada with limited retail distribution overseas."
211,Time-Life Editors,
212,Robert Wallace,Robert Wallace may refer to:
213,David Nevin,"David Nevin may refer to:David W. Nevin, American politician from Easton, Pennsylvania
David John Nevin, American officer in the Union Army"
214,Ogden Tanner,
218,Judith Leet,
219,Robert Penn Warren,"Robert Penn Warren was an American poet, novelist, and literary critic and was one of the founders of New Criticism. He was also a charter member of the Fellowship of Southern Writers. He founded the literary journal The Southern Review with Cleanth Brooks in 1935. He received the 1947 Pulitzer Prize for the Novel for All the King's Men (1946) and the Pulitzer Prize for Poetry in 1958 and 1979. He is the only person to have won Pulitzer Prizes for both fiction and poetry."
220,David Larkin,
221,Walt Disney Productions,"The Walt Disney Company, commonly known as Disney, is an American multinational, mass media and entertainment conglomerate that is headquartered at the Walt Disney Studios complex in Burbank, California. Disney was founded on October 16, 1923, by brothers Walt and Roy O. Disney as Disney Brothers Studio; it also operated under the names Walt Disney Studio and Walt Disney Productions before changing its name to The Walt Disney Company in 1986. Early in its existence, the company established itself as a leader in the animation industry, with the creation of the widely popular character Mickey Mouse, who first appeared in Steamboat Willie, which used synchronized sound, to become the first post-produced sound cartoon. The character would go on to become the company's mascot."
222,Randy Bright,
223,Martin Gottfried,"Martin Gottfried was an American critic, columnist and author. He was born in Brooklyn, New York."
224,Jennifer Ember Pierce,
225,Alison Morley Wilson,
226,Ann Charters,Ann Charters is a professor of American Literature at the University of Connecticut at Storrs. She is a Jack Kerouac and Beat Generation scholar.
